,rank,title,fullTitle,year,crew,imDbRating,imDbRating
150,151,Kill Bill: Vol. 1,Kill Bill: Vol. 1 (2003),2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,8.1
151,152,Rashomon,Rashomon (1950),1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1,8.1
152,153,The Thing,The Thing (1982),1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,8.1
153,154,Finding Nemo,Finding Nemo (2003),2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,8.1
154,155,The Elephant Man,The Elephant Man (1980),1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,8.1
155,156,Chinatown,Chinatown (1974),1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1,8.1
156,157,Raging Bull,Raging Bull (1980),1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1,8.1
157,158,V for Vendetta,V for Vendetta (2005),2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,8.1
158,159,Gone with the Wind,Gone with the Wind (1939),1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,8.1
159,160,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels (1998)",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1,8.1
160,161,Inside Out,Inside Out (2015),2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1,8.1
161,162,Dial M for Murder,Dial M for Murder (1954),1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,8.1
162,163,The Secret in Their Eyes,The Secret in Their Eyes (2009),2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1,8.1
163,164,Howl's Moving Castle,Howl's Moving Castle (2004),2004,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura",8.1,8.1
164,165,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri (2017)",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1,8.1
165,166,The Bridge on the River Kwai,The Bridge on the River Kwai (1957),1957,"David Lean (dir.), William Holden, Alec Guinness",8.1,8.1
166,167,Trainspotting,Trainspotting (1996),1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,8.1
167,168,Prisoners,Prisoners (2013),2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,8.1
168,169,Warrior,Warrior (2011),2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,8.1
169,170,Fargo,Fargo (1996),1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,8.1
170,171,Gran Torino,Gran Torino (2008),2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,8.1
171,172,My Neighbor Totoro,My Neighbor Totoro (1988),1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1,8.1
172,173,Catch Me If You Can,Catch Me If You Can (2002),2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,8.1
173,174,Million Dollar Baby,Million Dollar Baby (2004),2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,8.1
174,175,Children of Heaven,Children of Heaven (1997),1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,8.1
175,176,Blade Runner,Blade Runner (1982),1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,8.1
176,177,The Gold Rush,The Gold Rush (1925),1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1,8.1
177,178,Before Sunrise,Before Sunrise (1995),1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,8.1
178,179,12 Years a Slave,12 Years a Slave (2013),2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,8.1
179,180,Klaus,Klaus (2019),2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1,8.1
180,181,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2 (2011),2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1,8.1
181,182,On the Waterfront,On the Waterfront (1954),1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,8.1
182,183,Ben-Hur,Ben-Hur (1959),1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,8.1
183,184,Gone Girl,Gone Girl (2014),2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,8.1
184,185,The Grand Budapest Hotel,The Grand Budapest Hotel (2014),2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,8.1
